ITERATION;LEN(HYP);SAMPLENR;RUNTIME(sample);RUNTIME(total)s;RUNTIME(total)
1;94;5;3.641;3.641;0:00:03
2;95;2;2.335;5.976;0:00:05
3;110;2;3.016;8.992;0:00:08
4;126;1;2.019;11.011;0:00:11
5;134;1;1.392;12.403;0:00:12
6;108;1;0.842;13.245;0:00:13
7;104;1;1.541;14.786;0:00:14
8;103;1;1.494;16.28;0:00:16
9;110;2;3.521;19.801;0:00:19
10;117;1;3.658;23.459;0:00:23
11;102;4;4.825;28.284;0:00:28
12;103;2;4.029;32.313;0:00:32
13;104;1;2.223;34.536;0:00:34
14;111;3;5.515;40.051;0:00:40
15;135;1;5.003;45.054;0:00:45
16;136;1;5.317;50.371;0:00:50
17;139;3;4.958;55.329;0:00:55
18;155;1;3.649;58.978;0:00:58
19;163;2;5.810;64.788;0:01:04
20;164;2;6.112;70.9;0:01:10
21;143;3;4.087;74.987;0:01:14
22;159;1;4.039;79.026;0:01:19
23;156;2;4.705;83.731;0:01:23
24;165;1;5.230;88.961;0:01:28
25;146;1;2.706;91.667;0:01:31
26;142;3;3.907;95.574;0:01:35
27;121;1;2.301;97.875;0:01:37
28;119;1;2.288;100.163;0:01:40
29;120;1;5.771;105.934;0:01:45
30;121;2;7.049;112.983;0:01:52
31;117;2;3.323;116.306;0:01:56
32;115;1;2.611;118.917;0:01:58
33;123;1;4.457;123.374;0:02:03
34;124;1;5.494;128.868;0:02:08
35;122;3;3.856;132.724;0:02:12
36;146;1;5.132;137.856;0:02:17
37;124;3;4.003;141.859;0:02:21
38;133;1;7.604;149.463;0:02:29
39;149;5;8.314;157.777;0:02:37
40;156;1;7.944;165.721;0:02:45
41;162;3;9.544;175.265;0:02:55
42;169;2;9.729;184.994;0:03:04
43;160;2;7.248;192.242;0:03:12
44;155;3;7.602;199.844;0:03:19
45;162;2;9.064;208.908;0:03:28
46;160;2;4.298;213.206;0:03:33
47;161;1;8.962;222.168;0:03:42
48;140;4;5.333;227.501;0:03:47
49;147;2;6.661;234.162;0:03:54
50;155;2;9.168;243.33;0:04:03
51;162;9;14.792;258.122;0:04:18
52;161;2;4.392;262.514;0:04:22
53;159;2;4.518;267.032;0:04:27
54;156;1;3.784;270.816;0:04:30
55;170;3;9.044;279.86;0:04:39
56;149;1;7.402;287.262;0:04:47
57;157;1;7.395;294.657;0:04:54
58;153;3;8.475;303.132;0:05:03
59;150;2;3.889;307.021;0:05:07
60;156;2;9.580;316.601;0:05:16
61;157;1;9.683;326.284;0:05:26
62;158;2;10.993;337.277;0:05:37
63;155;1;3.543;340.82;0:05:40
64;164;4;9.363;350.183;0:05:50
