ITERATION;LEN(HYP);SAMPLENR;RUNTIME(sample);RUNTIME(total)s;RUNTIME(total)
1;88;1;0.807;0.807;0:00:00
2;108;2;1.410;2.217;0:00:02
3;116;1;1.159;3.376;0:00:03
4;91;2;1.273;4.649;0:00:04
5;92;3;1.776;6.425;0:00:06
6;88;3;1.005;7.43;0:00:07
7;87;5;2.141;9.571;0:00:09
8;96;1;1.222;10.793;0:00:10
9;97;1;1.662;12.455;0:00:12
10;104;5;3.188;15.643;0:00:15
11;118;1;2.088;17.731;0:00:17
12;134;1;2.254;19.985;0:00:19
13;135;4;3.766;23.751;0:00:23
14;118;2;2.795;26.546;0:00:26
15;119;3;3.419;29.965;0:00:29
16;120;2;3.436;33.401;0:00:33
17;140;3;3.889;37.29;0:00:37
18;139;5;3.889;41.179;0:00:41
19;136;3;3.025;44.204;0:00:44
20;114;1;1.845;46.049;0:00:46
21;115;2;3.259;49.308;0:00:49
22;117;6;4.955;54.263;0:00:54
23;120;4;4.132;58.395;0:00:58
24;118;4;3.232;61.627;0:01:01
25;120;1;3.534;65.161;0:01:05
26;120;4;5.053;70.214;0:01:10
27;118;1;2.095;72.309;0:01:12
28;121;2;4.267;76.576;0:01:16
29;128;1;3.992;80.568;0:01:20
30;142;3;5.274;85.842;0:01:25
31;141;4;3.994;89.836;0:01:29
32;138;2;2.900;92.736;0:01:32
33;138;1;4.150;96.886;0:01:36
34;119;2;2.489;99.375;0:01:39
35;116;1;4.135;103.51;0:01:43
36;117;3;4.662;108.172;0:01:48
37;113;1;1.887;110.059;0:01:50
38;133;7;6.217;116.276;0:01:56
39;140;3;4.889;121.165;0:02:01
40;147;1;4.487;125.652;0:02:05
41;140;1;4.656;130.308;0:02:10
42;138;2;4.582;134.89;0:02:14
43;146;3;4.940;139.83;0:02:19
44;169;1;4.662;144.492;0:02:24
45;171;4;6.557;151.049;0:02:31
46;172;1;5.236;156.285;0:02:36
47;196;3;6.605;162.89;0:02:42
48;174;1;2.900;165.79;0:02:45
49;180;1;5.856;171.646;0:02:51
50;187;5;7.892;179.538;0:02:59
51;185;2;3.725;183.263;0:03:03
52;199;2;7.440;190.703;0:03:10
53;206;7;9.839;200.542;0:03:20
54;207;9;11.106;211.648;0:03:31
55;202;3;8.689;220.337;0:03:40
56;211;2;8.465;228.802;0:03:48
57;210;3;5.366;234.168;0:03:54
58;222;6;11.122;245.29;0:04:05
59;201;9;8.145;253.435;0:04:13
60;199;2;4.687;258.122;0:04:18
61;200;4;10.306;268.428;0:04:28
62;182;3;5.143;273.571;0:04:33
63;183;1;9.361;282.932;0:04:42
64;182;1;4.391;287.323;0:04:47
65;183;4;10.701;298.024;0:04:58
66;191;3;10.201;308.225;0:05:08
67;190;2;9.921;318.146;0:05:18
68;199;3;10.328;328.474;0:05:28
69;199;1;10.302;338.776;0:05:38
70;200;1;9.917;348.693;0:05:48
71;201;4;11.716;360.409;0:06:00
72;200;1;5.035;365.444;0:06:05
73;199;3;5.913;371.357;0:06:11
74;198;4;11.405;382.762;0:06:22
75;192;7;12.546;395.308;0:06:35
76;187;3;5.165;400.473;0:06:40
77;185;17;10.803;411.276;0:06:51
78;188;1;8.225;419.501;0:06:59
