ITERATION;LEN(HYP);SAMPLENR;RUNTIME(sample);RUNTIME(total)s;RUNTIME(total)
1;88;1;0.780;0.78;0:00:00
2;118;1;0.663;1.443;0:00:01
3;92;1;0.357;1.8;0:00:01
4;88;5;1.341;3.141;0:00:03
5;87;5;2.117;5.258;0:00:05
6;94;2;1.512;6.77;0:00:06
7;90;4;2.498;9.268;0:00:09
8;88;12;4.617;13.885;0:00:13
9;95;2;1.861;15.746;0:00:15
10;94;7;3.122;18.868;0:00:18
11;95;1;1.554;20.422;0:00:20
12;96;1;1.833;22.255;0:00:22
13;116;1;2.252;24.507;0:00:24
14;132;4;3.478;27.985;0:00:27
15;139;11;6.350;34.335;0:00:34
16;147;1;2.818;37.153;0:00:37
17;149;1;2.981;40.134;0:00:40
18;150;1;3.033;43.167;0:00:43
19;156;1;3.312;46.479;0:00:46
20;159;2;3.823;50.302;0:00:50
21;160;1;3.468;53.77;0:00:53
22;169;3;4.652;58.422;0:00:58
23;189;1;4.380;62.802;0:01:02
24;198;1;4.756;67.558;0:01:07
25;214;1;5.268;72.826;0:01:12
26;215;5;7.025;79.851;0:01:19
27;212;7;6.794;86.645;0:01:26
28;190;1;3.843;90.488;0:01:30
29;191;1;5.674;96.162;0:01:36
30;203;1;6.161;102.323;0:01:42
31;201;2;4.659;106.982;0:01:46
32;215;1;6.735;113.717;0:01:53
33;213;1;4.466;118.183;0:01:58
34;214;3;8.010;126.193;0:02:06
35;196;1;6.237;132.43;0:02:12
36;177;6;5.716;138.146;0:02:18
37;174;3;4.404;142.55;0:02:22
38;180;1;6.184;148.734;0:02:28
39;189;3;7.387;156.121;0:02:36
40;198;3;7.959;164.08;0:02:44
41;212;1;7.690;171.77;0:02:51
42;210;6;10.082;181.852;0:03:01
43;207;3;5.393;187.245;0:03:07
44;205;2;4.926;192.171;0:03:12
45;199;3;7.821;199.992;0:03:19
46;198;9;7.443;207.435;0:03:27
47;207;4;8.265;215.7;0:03:35
48;214;7;10.205;225.905;0:03:45
49;221;20;16.850;242.755;0:04:02
50;212;7;10.774;253.529;0:04:13
51;205;2;7.890;261.419;0:04:21
52;198;1;7.393;268.812;0:04:28
53;186;2;7.060;275.872;0:04:35
54;179;4;7.807;283.679;0:04:43
55;181;4;7.777;291.456;0:04:51
56;190;1;6.713;298.169;0:04:58
57;202;8;10.325;308.494;0:05:08
58;203;3;8.319;316.813;0:05:16
59;204;5;9.473;326.286;0:05:26
60;202;7;7.377;333.663;0:05:33
61;182;2;4.551;338.214;0:05:38
62;196;7;10.352;348.566;0:05:48
63;198;8;10.978;359.544;0:05:59
64;195;3;5.089;364.633;0:06:04
65;193;1;3.866;368.499;0:06:08
66;194;2;7.753;376.252;0:06:16
67;195;4;9.249;385.501;0:06:25
68;212;2;8.747;394.248;0:06:34
69;219;11;13.373;407.621;0:06:47
70;216;3;5.586;413.207;0:06:53
71;222;2;9.391;422.598;0:07:02
72;229;4;10.594;433.192;0:07:13
73;238;1;9.873;443.065;0:07:23
74;232;4;11.668;454.733;0:07:34
75;239;15;17.133;471.866;0:07:51
76;247;2;11.896;483.762;0:08:03
77;261;3;12.871;496.633;0:08:16
78;270;2;13.229;509.862;0:08:29
79;270;2;13.397;523.259;0:08:43
80;272;5;15.114;538.373;0:08:58
81;269;2;13.763;552.136;0:09:12
82;270;4;14.446;566.582;0:09:26
83;285;9;18.030;584.612;0:09:44
84;295;10;19.429;604.041;0:10:04
85;296;4;17.010;621.051;0:10:21
86;295;8;12.891;633.942;0:10:33
87;292;3;15.993;649.935;0:10:49
88;278;7;17.427;667.362;0:11:07
89;271;2;14.783;682.145;0:11:22
90;272;3;14.830;696.975;0:11:36
91;271;4;9.241;706.216;0:11:46
92;255;2;7.848;714.064;0:11:54
93;255;7;17.351;731.415;0:12:11
94;252;24;19.049;750.464;0:12:30
95;249;3;7.786;758.25;0:12:38
96;258;3;14.313;772.563;0:12:52
97;259;7;16.787;789.35;0:13:09
98;256;15;20.703;810.053;0:13:30
99;272;15;20.820;830.873;0:13:50
100;256;13;19.554;850.427;0:14:10
101;258;4;14.887;865.314;0:14:25
102;251;9;17.733;883.047;0:14:43
103;266;9;18.145;901.192;0:15:01
104;264;11;12.495;913.687;0:15:13
105;279;4;15.828;929.515;0:15:29
106;264;8;17.838;947.353;0:15:47
107;251;7;16.107;963.46;0:16:03
108;260;11;18.415;981.875;0:16:21
109;247;5;8.663;990.538;0:16:30
110;262;2;15.039;1005.577;0:16:45
111;260;8;10.345;1015.922;0:16:55
112;275;1;15.284;1031.206;0:17:11
113;282;2;16.505;1047.711;0:17:27
114;281;1;8.058;1055.769;0:17:35
115;277;23;27.825;1083.594;0:18:03
116;276;9;12.004;1095.598;0:18:15
117;285;2;17.421;1113.019;0:18:33
118;285;3;18.522;1131.541;0:18:51
119;286;6;19.924;1151.465;0:19:11
120;286;7;20.675;1172.14;0:19:32
121;287;1;18.070;1190.21;0:19:50
122;285;9;13.133;1203.343;0:20:03
123;287;27;31.983;1235.326;0:20:35
124;279;4;20.122;1255.448;0:20:55
125;279;3;19.681;1275.129;0:21:15
126;280;13;25.089;1300.218;0:21:40
