ITERATION;LEN(HYP);SAMPLENR;RUNTIME(sample);RUNTIME(total)s;RUNTIME(total)
1;94;1;1.496;1.496;0:00:01
2;108;2;1.930;3.426;0:00:03
3;116;3;2.558;5.984;0:00:05
4;89;12;6.929;12.913;0:00:12
5;88;20;10.710;23.623;0:00:23
6;87;7;4.024;27.647;0:00:27
7;94;3;2.350;29.997;0:00:29
8;95;1;1.910;31.907;0:00:31
9;109;1;1.628;33.535;0:00:33
10;123;1;2.155;35.69;0:00:35
11;130;2;2.685;38.375;0:00:38
12;146;1;2.568;40.943;0:00:40
13;128;1;1.628;42.571;0:00:42
14;136;3;3.758;46.329;0:00:46
15;143;6;5.332;51.661;0:00:51
16;144;7;6.192;57.853;0:00:57
17;164;2;3.982;61.835;0:01:01
18;173;3;4.641;66.476;0:01:06
19;171;2;3.236;69.712;0:01:09
20;186;2;4.802;74.514;0:01:14
21;195;1;4.659;79.173;0:01:19
22;211;1;5.414;84.587;0:01:24
23;212;6;8.560;93.147;0:01:33
24;210;5;6.261;99.408;0:01:39
25;190;1;3.416;102.824;0:01:42
26;178;3;6.185;109.009;0:01:49
27;159;2;3.472;112.481;0:01:52
28;171;1;5.139;117.62;0:01:57
29;153;1;2.866;120.486;0:02:00
30;150;1;2.684;123.17;0:02:03
31;151;1;5.052;128.222;0:02:08
32;171;1;5.926;134.148;0:02:14
33;149;1;3.098;137.246;0:02:17
34;150;2;6.357;143.603;0:02:23
35;155;1;5.622;149.225;0:02:29
36;164;6;8.532;157.757;0:02:37
37;170;7;9.715;167.472;0:02:47
38;161;16;15.113;182.585;0:03:02
39;162;7;9.272;191.857;0:03:11
40;163;4;8.620;200.477;0:03:20
41;162;3;4.625;205.102;0:03:25
42;169;5;8.955;214.057;0:03:34
43;165;23;16.602;230.659;0:03:50
44;182;2;7.091;237.75;0:03:57
45;181;1;3.743;241.493;0:04:01
46;188;5;9.144;250.637;0:04:10
47;197;3;8.576;259.213;0:04:19
48;213;2;8.636;267.849;0:04:27
49;220;9;14.142;281.991;0:04:41
50;240;2;9.716;291.707;0:04:51
51;257;15;18.973;310.68;0:05:10
52;238;2;6.373;317.053;0:05:17
53;229;2;10.622;327.675;0:05:27
54;244;3;11.521;339.196;0:05:39
55;239;1;6.031;345.227;0:05:45
56;235;9;15.929;361.156;0:06:01
57;235;4;13.467;374.623;0:06:14
58;250;2;10.686;385.309;0:06:25
59;251;4;12.470;397.779;0:06:37
60;234;4;12.258;410.037;0:06:50
61;231;3;6.569;416.606;0:06:56
62;237;1;10.590;427.196;0:07:07
63;251;1;10.806;438.002;0:07:18
64;266;8;15.888;453.89;0:07:33
65;267;5;15.090;468.98;0:07:48
66;273;6;16.138;485.118;0:08:05
67;260;2;12.818;497.936;0:08:17
68;261;1;11.979;509.915;0:08:29
69;260;4;8.975;518.89;0:08:38
70;266;2;13.134;532.024;0:08:52
71;286;1;13.273;545.297;0:09:05
72;286;2;14.950;560.247;0:09:20
73;287;15;23.730;583.977;0:09:43
74;286;1;7.909;591.886;0:09:51
75;266;3;8.688;600.574;0:10:00
76;246;4;8.765;609.339;0:10:09
77;232;10;12.066;621.405;0:10:21
78;231;1;5.739;627.144;0:10:27
79;230;4;7.344;634.488;0:10:34
80;227;3;6.634;641.122;0:10:41
81;228;1;11.287;652.409;0:10:52
82;234;18;22.493;674.902;0:11:14
83;232;3;6.544;681.446;0:11:21
84;252;8;17.385;698.831;0:11:38
85;253;11;19.085;717.916;0:11:57
86;265;7;17.311;735.227;0:12:15
87;264;29;24.388;759.615;0:12:39
88;251;11;12.583;772.198;0:12:52
89;259;1;13.980;786.178;0:13:06
90;268;34;36.077;822.255;0:13:42
91;283;2;16.166;838.421;0:13:58
92;282;11;14.118;852.539;0:14:12
93;299;23;31.252;883.791;0:14:43
94;298;8;12.724;896.515;0:14:56
95;281;7;20.160;916.675;0:15:16
96;290;15;24.915;941.59;0:15:41
97;277;6;19.153;960.743;0:16:00
98;278;17;26.186;986.929;0:16:26
99;284;4;18.235;1005.164;0:16:45
100;286;13;24.770;1029.934;0:17:09
