ITERATION;LEN(HYP);SAMPLENR;RUNTIME(sample);RUNTIME(total)s;RUNTIME(total)
1;94;2;7.151;7.151;0:00:07
2;95;2;3.087;10.238;0:00:10
3;119;1;1.769;12.007;0:00:12
4;93;1;0.945;12.952;0:00:12
5;88;4;3.566;16.518;0:00:16
6;108;1;2.440;18.958;0:00:18
7;117;5;5.745;24.703;0:00:24
8;124;2;4.365;29.068;0:00:29
9;140;2;5.014;34.082;0:00:34
10;149;5;6.649;40.731;0:00:40
11;128;1;2.409;43.14;0:00:43
12;123;1;4.996;48.136;0:00:48
13;130;2;5.542;53.678;0:00:53
14;126;8;8.916;62.594;0:01:02
15;135;1;5.541;68.135;0:01:08
16;144;4;6.330;74.465;0:01:14
17;152;2;5.342;79.807;0:01:19
18;149;1;2.965;82.772;0:01:22
19;167;1;5.055;87.827;0:01:27
20;150;1;4.847;92.674;0:01:32
21;147;2;5.365;98.039;0:01:38
22;142;6;8.873;106.912;0:01:46
23;143;2;5.384;112.296;0:01:52
24;144;2;5.109;117.405;0:01:57
25;153;4;7.243;124.648;0:02:04
26;150;1;3.127;127.775;0:02:07
27;151;1;6.186;133.961;0:02:13
28;173;3;7.549;141.51;0:02:21
29;172;2;4.396;145.906;0:02:25
30;167;2;8.274;154.18;0:02:34
31;164;1;3.320;157.5;0:02:37
32;172;2;6.961;164.461;0:02:44
33;153;1;3.362;167.823;0:02:47
34;160;1;5.581;173.404;0:02:53
35;171;3;8.129;181.533;0:03:01
36;169;1;3.592;185.125;0:03:05
37;169;4;9.143;194.268;0:03:14
38;185;2;7.796;202.064;0:03:22
39;182;1;4.071;206.135;0:03:26
40;181;6;8.823;214.958;0:03:34
41;182;1;7.568;222.526;0:03:42
42;164;4;6.936;229.462;0:03:49
43;163;1;3.889;233.351;0:03:53
44;142;1;3.535;236.886;0:03:56
45;122;5;6.965;243.851;0:04:03
46;121;1;6.888;250.739;0:04:10
47;122;1;6.044;256.783;0:04:16
48;128;1;6.807;263.59;0:04:23
49;142;7;13.902;277.492;0:04:37
50;139;2;4.125;281.617;0:04:41
51;140;1;8.205;289.822;0:04:49
52;139;4;6.209;296.031;0:04:56
53;135;1;3.164;299.195;0:04:59
54;144;1;8.179;307.374;0:05:07
55;144;3;8.782;316.156;0:05:16
56;145;3;8.305;324.461;0:05:24
57;147;1;7.350;331.811;0:05:31
58;148;3;9.262;341.073;0:05:41
59;147;4;6.286;347.359;0:05:47
60;146;6;7.533;354.892;0:05:54
61;159;1;6.815;361.707;0:06:01
62;168;2;8.363;370.07;0:06:10
63;183;2;9.411;379.481;0:06:19
64;175;1;9.106;388.587;0:06:28
65;183;2;10.209;398.796;0:06:38
66;195;5;13.760;412.556;0:06:52
67;194;1;4.453;417.009;0:06:57
68;191;6;8.744;425.753;0:07:05
69;192;6;15.192;440.945;0:07:20
70;190;3;6.146;447.091;0:07:27
71;176;9;17.179;464.27;0:07:44
72;177;3;11.311;475.581;0:07:55
73;175;2;5.663;481.244;0:08:01
74;174;8;10.583;491.827;0:08:11
75;194;2;10.687;502.514;0:08:22
76;211;1;11.672;514.186;0:08:34
77;218;20;29.264;543.45;0:09:03
78;232;3;14.104;557.554;0:09:17
79;233;6;16.792;574.346;0:09:34
80;234;6;18.974;593.32;0:09:53
81;235;2;13.888;607.208;0:10:07
82;232;5;18.790;625.998;0:10:25
83;232;5;17.860;643.858;0:10:43
84;233;2;15.627;659.485;0:10:59
85;233;1;12.259;671.744;0:11:11
86;248;1;12.626;684.37;0:11:24
87;249;2;18.226;702.596;0:11:42
88;269;10;26.093;728.689;0:12:08
89;278;11;25.252;753.941;0:12:33
90;263;1;7.645;761.586;0:12:41
91;263;3;18.315;779.901;0:12:59
92;272;8;22.999;802.9;0:13:22
93;274;7;23.067;825.967;0:13:45
94;265;1;16.945;842.912;0:14:02
95;274;10;30.028;872.94;0:14:32
96;280;9;28.694;901.634;0:15:01
97;274;1;17.272;918.906;0:15:18
98;273;5;12.528;931.434;0:15:31
99;261;3;19.659;951.093;0:15:51
100;255;13;29.784;980.877;0:16:20
101;256;3;23.038;1003.915;0:16:43
102;255;12;19.879;1023.794;0:17:03
103;247;1;17.009;1040.803;0:17:20
104;246;11;18.185;1058.988;0:17:38
105;261;7;22.830;1081.818;0:18:01
106;260;10;17.630;1099.448;0:18:19
107;258;2;8.624;1108.072;0:18:28
108;260;17;33.461;1141.533;0:19:01
109;261;5;21.558;1163.091;0:19:23
110;257;10;17.205;1180.296;0:19:40
111;256;1;7.566;1187.862;0:19:47
112;257;3;19.142;1207.004;0:20:07
113;274;3;22.358;1229.362;0:20:29
114;273;2;9.007;1238.369;0:20:38
115;280;10;30.728;1269.097;0:21:09
116;282;1;18.438;1287.535;0:21:27
117;279;22;30.532;1318.067;0:21:58
118;279;24;46.637;1364.704;0:22:44
119;280;29;53.228;1417.932;0:23:37
120;294;12;35.686;1453.618;0:24:13
121;295;12;31.816;1485.434;0:24:45
122;281;3;21.935;1507.369;0:25:07
123;282;10;28.728;1536.097;0:25:36
124;279;8;16.220;1552.317;0:25:52
125;264;2;8.980;1561.297;0:26:01
126;272;5;27.714;1589.011;0:26:29
127;273;18;37.184;1626.195;0:27:06
128;270;6;13.348;1639.543;0:27:19
129;250;10;28.083;1667.626;0:27:47
130;259;2;19.701;1687.327;0:28:07
131;268;5;27.355;1714.682;0:28:34
132;268;13;34.238;1748.92;0:29:08
133;268;5;25.102;1774.022;0:29:34
134;268;1;24.450;1798.472;0:29:58
135;267;1;20.547;1819.019;0:30:19
136;269;30;49.951;1868.97;0:31:08
137;268;9;16.821;1885.791;0:31:25
138;268;1;20.267;1906.058;0:31:46
139;269;3;26.488;1932.546;0:32:12
140;278;15;35.234;1967.78;0:32:47
141;287;4;24.770;1992.55;0:33:12
142;285;2;10.758;2003.308;0:33:23
143;285;9;29.789;2033.097;0:33:53
144;284;27;36.774;2069.871;0:34:29
145;284;1;21.920;2091.791;0:34:51
146;293;5;25.736;2117.527;0:35:17
147;301;26;54.228;2171.755;0:36:11
148;302;3;29.589;2201.344;0:36:41
149;293;7;29.329;2230.673;0:37:10
150;292;2;22.995;2253.668;0:37:33
151;293;20;48.909;2302.577;0:38:22
152;299;16;42.046;2344.623;0:39:04
153;282;8;29.015;2373.638;0:39:33
154;294;1;26.360;2399.998;0:39:59
155;293;2;10.536;2410.534;0:40:10
156;293;12;35.305;2445.839;0:40:45
157;309;61;84.812;2530.651;0:42:10
158;318;16;38.800;2569.451;0:42:49
159;327;29;58.806;2628.257;0:43:48
160;328;3;26.874;2655.131;0:44:15
161;312;1;11.237;2666.368;0:44:26
162;321;15;40.964;2707.332;0:45:07
163;331;27;60.168;2767.5;0:46:07
164;339;3;36.097;2803.597;0:46:43
165;323;3;14.354;2817.951;0:46:57
166;308;11;22.023;2839.974;0:47:19
167;302;13;40.127;2880.101;0:48:00
168;314;22;55.526;2935.627;0:48:55
169;323;35;64.516;3000.143;0:50:00
170;340;15;52.282;3052.425;0:50:52
171;341;5;42.953;3095.378;0:51:35
172;339;4;17.055;3112.433;0:51:52
173;340;1;32.368;3144.801;0:52:24
174;353;15;57.059;3201.86;0:53:21
175;345;5;19.622;3221.482;0:53:41
176;344;3;16.988;3238.47;0:53:58
177;329;1;13.765;3252.235;0:54:12
178;330;15;48.905;3301.14;0:55:01
179;329;2;14.654;3315.794;0:55:15
180;328;5;37.218;3353.012;0:55:53
181;335;5;45.328;3398.34;0:56:38
182;336;7;39.566;3437.906;0:57:17
183;337;14;47.813;3485.719;0:58:05
184;338;4;38.958;3524.677;0:58:44
185;337;3;17.021;3541.698;0:59:01
186;337;1;35.952;3577.65;0:59:37
187;318;21;35.439;3613.089;1:00:13
188;317;5;17.609;3630.698;1:00:30
189;315;16;28.799;3659.497;1:00:59
190;306;1;33.739;3693.236;1:01:33
191;308;17;49.930;3743.166;1:02:23
192;317;8;41.754;3784.92;1:03:04
193;327;1;41.282;3826.202;1:03:46
194;336;12;57.383;3883.585;1:04:43
195;335;3;16.629;3900.214;1:05:00
196;333;6;41.955;3942.169;1:05:42
197;317;3;15.668;3957.837;1:05:57
198;315;15;27.777;3985.614;1:06:25
199;325;6;41.104;4026.718;1:07:06
200;316;14;48.472;4075.19;1:07:55
201;316;2;36.173;4111.363;1:08:31
202;325;5;39.077;4150.44;1:09:10
203;311;3;14.668;4165.108;1:09:25
204;310;2;13.366;4178.474;1:09:38
205;299;13;24.300;4202.774;1:10:02
206;298;4;14.682;4217.456;1:10:17
207;296;8;18.445;4235.901;1:10:35
208;295;7;17.346;4253.247;1:10:53
209;294;2;12.245;4265.492;1:11:05
210;296;14;45.982;4311.474;1:11:51
211;305;2;34.894;4346.368;1:12:26
212;313;3;37.669;4384.037;1:13:04
213;315;7;41.234;4425.271;1:13:45
214;316;9;44.469;4469.74;1:14:29
215;325;8;44.038;4513.778;1:15:13
216;334;7;51.221;4564.999;1:16:04
217;325;4;41.672;4606.671;1:16:46
218;327;3;47.546;4654.217;1:17:34
