COUNT;HORN RULES (filtered)
3/3;kvinne & modell ---> FALSE
2/3;kvinne & rørlegger ---> mellom 30 og 40
2/3;kvinne & elektriker ---> FALSE
1/3;Australia & kvinne ---> mellom 50 og 60
1/3;kvinne & rørlegger ---> Nord Amerika
1/3;kvinne & rørlegger ---> Stavanger
1/3;frisør & kvinne & eldre enn 60 ---> FALSE
1/3;kvinne & advokat ---> FALSE
1/3;musiker & kvinne ---> FALSE
1/3;sykepleier & mann ---> FALSE
1/3;Stavanger & mellom 30 og 40 & kvinne ---> rørlegger
1/3;Tromsø ---> mann
1/3;musiker ---> mann
1/3;Kristiansand & Afrika ---> FALSE
1/3;Kristiansand & kvinne & mellom 50 og 60 ---> FALSE
1/3;frisør & Australia & kvinne ---> FALSE
1/3;kvinne & eldre enn 60 ---> FALSE
1/3;psykolog & Oslo & mann ---> FALSE
1/3;sykepleier & Kristiansand & Nord Amerika & mann & mellom 40 og 50 ---> FALSE
1/3;Bergen & kvinne ---> Europa
1/3;Bergen & kvinne ---> mellom 30 og 40
1/3;Bergen & kvinne ---> sykepleier
1/3;Nord Amerika & kvinne ---> Oslo
1/3;Nord Amerika & kvinne ---> mellom 50 og 60
1/3;Nord Amerika & kvinne ---> sykepleier
1/3;elektriker ---> mann
1/3;elektriker ---> mellom 40 og 50
1/3;kvinne & eldre enn 60 ---> Oslo
1/3;kvinne & eldre enn 60 ---> Sør Amerika
1/3;kvinne & eldre enn 60 ---> sykepleier
1/3;sykepleier ---> kvinne
1/3;Kristiansand & Europa & kvinne & mellom 40 og 50 & advokat ---> FALSE
1/3;frisør & Stavanger & Sør Amerika & mann ---> FALSE
1/3;kvinne & rørlegger ---> FALSE
1/3;musiker & Bodø & Sør Amerika & kvinne ---> FALSE
1/3;psykolog & Bodø & Nord Amerika & mann ---> FALSE
1/3;yngre enn 20 & kvinne ---> FALSE
