COUNT;HORN RULES (filtered)
1/1;Afrika & mann & modell ---> mellom 40 og 50
1/1;Afrika & mann & modell ---> Ålesund
1/1;Bergen & Europa & kvinne ---> modell
1/1;Bergen & mann & modell ---> mellom 30 og 40
1/1;Bodø & Afrika & kvinne ---> modell
1/1;Kristiansand & Afrika & kvinne & eldre enn 60 ---> modell
1/1;Kristiansand & Sør Amerika & kvinne ---> modell
1/1;Oslo & Europa & kvinne ---> sykepleier
1/1;Oslo & Europa & kvinne ---> yngre enn 20
1/1;Stavanger & kvinne & eldre enn 60 ---> Europa
1/1;Stavanger & kvinne & eldre enn 60 ---> sykepleier
1/1;Tromsø & Afrika & kvinne ---> sykepleier
1/1;Tromsø & Afrika & kvinne ---> yngre enn 20
1/1;Trondheim & Asia & kvinne ---> sykepleier
1/1;Trondheim & Asia & kvinne ---> yngre enn 20
1/1;Trondheim & modell ---> kvinne
1/1;eldre enn 60 & modell ---> kvinne
1/1;kvinne & mellom 50 og 60 ---> modell
1/1;mellom 30 og 40 & Australia & kvinne ---> Bodø
1/1;mellom 30 og 40 & Australia & kvinne ---> modell
1/1;mellom 30 og 40 & Bodø & kvinne ---> Australia
1/1;mellom 30 og 40 & Bodø & kvinne ---> modell
1/1;sykepleier & Oslo & kvinne ---> Europa
1/1;sykepleier & Oslo & kvinne ---> yngre enn 20
1/1;sykepleier & Stavanger & kvinne ---> Europa
1/1;sykepleier & Stavanger & kvinne ---> eldre enn 60
1/1;sykepleier & Trondheim & Europa & mann ---> mellom 20 og 30
1/1;sykepleier & mann & eldre enn 60 ---> Stavanger
1/1;sykepleier & mellom 30 og 40 & kvinne ---> Europa
1/1;Kristiansand & mellom 30 og 40 & Nord Amerika & mann & modell ---> FALSE
1/1;Oslo & Afrika & kvinne & eldre enn 60 ---> FALSE
1/1;Stavanger & Australia & mann & mellom 50 og 60 & modell ---> FALSE
1/1;Tromsø & Asia & kvinne & mellom 40 og 50 & modell ---> FALSE
1/1;Tromsø & Sør Amerika & kvinne & eldre enn 60 ---> FALSE
1/1;frisør & kvinne ---> FALSE
1/1;kvinne & advokat ---> FALSE
1/1;kvinne & elektriker ---> FALSE
1/1;kvinne & rørlegger ---> FALSE
1/1;mellom 20 og 30 & Nord Amerika & kvinne ---> FALSE
1/1;mellom 30 og 40 & Tromsø & kvinne ---> FALSE
1/1;musiker & kvinne ---> FALSE
1/1;psykolog & kvinne ---> FALSE
1/1;sykepleier & Bodø & kvinne ---> FALSE
1/1;sykepleier & Ålesund & kvinne & mellom 40 og 50 ---> FALSE
1/1;yngre enn 20 & mann & modell ---> FALSE
