COUNT;HORN RULES (filtered)
3/3;kvinne & advokat ---> FALSE
3/3;kvinne & elektriker ---> FALSE
3/3;kvinne & rørlegger ---> FALSE
3/3;mann & modell ---> FALSE
3/3;musiker & kvinne ---> FALSE
3/3;psykolog & kvinne ---> FALSE
3/3;sykepleier & kvinne ---> FALSE
2/3;frisør & mann ---> FALSE
1/3;Europa & kvinne & mellom 50 og 60 ---> Bodø
1/3;Europa & kvinne & mellom 50 og 60 ---> frisør
1/3;Trondheim & kvinne ---> Sør Amerika
1/3;Trondheim & kvinne ---> frisør
1/3;yngre enn 20 & Bodø & kvinne ---> Europa
1/3;yngre enn 20 & Bodø & kvinne ---> modell
1/3;yngre enn 20 & Stavanger & Australia & kvinne ---> frisør
1/3;yngre enn 20 & Tromsø & kvinne ---> FALSE
1/3;Ålesund & Australia & kvinne & eldre enn 60 ---> FALSE
1/3;Australia & kvinne ---> modell
1/3;frisør ---> kvinne
1/3;kvinne & eldre enn 60 ---> Europa
1/3;kvinne & eldre enn 60 ---> frisør
1/3;yngre enn 20 & Kristiansand & kvinne ---> Asia
1/3;yngre enn 20 & Kristiansand & kvinne ---> modell
1/3;mellom 20 og 30 & Oslo & Nord Amerika & kvinne ---> FALSE
1/3;mellom 30 og 40 & Bodø & Asia & kvinne ---> FALSE
1/3;Trondheim & Afrika & kvinne ---> mellom 20 og 30
1/3;Trondheim & Afrika & kvinne ---> modell
1/3;Ålesund & kvinne ---> mellom 40 og 50
1/3;Ålesund & kvinne ---> modell
1/3;Bergen & Australia & kvinne & eldre enn 60 ---> FALSE
1/3;Stavanger & kvinne ---> FALSE
