COUNT;HORN RULES (filtered)
6/6;kvinne & advokat ---> FALSE
6/6;kvinne & elektriker ---> FALSE
6/6;kvinne & rørlegger ---> FALSE
6/6;mann & modell ---> FALSE
6/6;musiker & kvinne ---> FALSE
6/6;psykolog & kvinne ---> FALSE
6/6;sykepleier & kvinne ---> FALSE
2/6;Europa & kvinne & mellom 50 og 60 ---> frisør
2/6;frisør & mann ---> FALSE
2/6;yngre enn 20 & Tromsø & kvinne ---> FALSE
1/6;Europa & kvinne & mellom 50 og 60 ---> Bodø
1/6;Trondheim & kvinne ---> Sør Amerika
1/6;Trondheim & kvinne ---> frisør
1/6;yngre enn 20 & Bodø & kvinne ---> Europa
1/6;yngre enn 20 & Bodø & kvinne ---> modell
1/6;yngre enn 20 & Stavanger & Australia & kvinne ---> frisør
1/6;Ålesund & Australia & kvinne & eldre enn 60 ---> FALSE
1/6;Australia & kvinne ---> modell
1/6;frisør ---> kvinne
1/6;kvinne & eldre enn 60 ---> Europa
1/6;kvinne & eldre enn 60 ---> frisør
1/6;yngre enn 20 & Kristiansand & kvinne ---> Asia
1/6;yngre enn 20 & Kristiansand & kvinne ---> modell
1/6;mellom 20 og 30 & Oslo & Nord Amerika & kvinne ---> FALSE
1/6;mellom 30 og 40 & Bodø & Asia & kvinne ---> FALSE
1/6;Trondheim & Afrika & kvinne ---> mellom 20 og 30
1/6;Trondheim & Afrika & kvinne ---> modell
1/6;Ålesund & kvinne ---> mellom 40 og 50
1/6;Ålesund & kvinne ---> modell
1/6;Bergen & Australia & kvinne & eldre enn 60 ---> FALSE
1/6;Stavanger & kvinne ---> FALSE
1/6;Asia & kvinne & eldre enn 60 ---> Oslo
1/6;Asia & kvinne & eldre enn 60 ---> modell
1/6;Australia & kvinne & mellom 50 og 60 ---> frisør
1/6;Australia & kvinne & mellom 50 og 60 ---> Ålesund
1/6;Bodø & kvinne & mellom 40 og 50 ---> frisør
1/6;Stavanger & Sør Amerika & kvinne & mellom 40 og 50 ---> frisør
1/6;Trondheim & Nord Amerika & kvinne ---> eldre enn 60
1/6;Trondheim & Nord Amerika & kvinne ---> frisør
1/6;yngre enn 20 & Europa ---> mann
1/6;yngre enn 20 & Europa ---> psykolog
1/6;Ålesund & kvinne & mellom 50 og 60 ---> Australia
1/6;Ålesund & kvinne & mellom 50 og 60 ---> frisør
1/6;Bodø & Nord Amerika & kvinne ---> FALSE
1/6;Kristiansand & mellom 30 og 40 & Sør Amerika & kvinne ---> FALSE
1/6;Trondheim & Afrika & kvinne & mellom 50 og 60 ---> FALSE
1/6;Trondheim & Australia & kvinne & mellom 40 og 50 ---> FALSE
1/6;frisør & Kristiansand & Asia & mann & mellom 40 og 50 ---> FALSE
